Employees.eid  Certified.aid  Employees.ename  Employees.salary  
163	976	gjig	1650	
61	8498	jpvm	4447	
61	2671	jpvm	4447	
61	1297	jpvm	4447	
61	9345	jpvm	4447	
61	9525	jpvm	4447	
61	2337	jpvm	4447	
61	2817	jpvm	4447	
61	3600	jpvm	4447	
61	8375	jpvm	4447	
96	8973	bpab	89	
96	9989	bpab	89	
96	1783	bpab	89	
96	4579	bpab	89	
80	2846	wsls	7731	
213	2889	nctk	3775	
37	4018	ibpw	2558	
37	1079	ibpw	2558	
37	1243	ibpw	2558	
37	2175	ibpw	2558	
37	6357	ibpw	2558	
37	2827	ibpw	2558	
37	3065	ibpw	2558	
37	7400	ibpw	2558	
77	294	rlxk	2048	
77	1188	rlxk	2048	
77	1799	rlxk	2048	
77	1929	rlxk	2048	
107	5301	dxhn	974	
113	1218	nbuf	171	
113	4591	nbuf	171	
113	9832	nbuf	171	
34	3862	asuz	4925	
34	4832	asuz	4925	
34	9312	asuz	4925	
34	9969	asuz	4925	
34	8612	asuz	4925	
34	6730	asuz	4925	
34	3552	asuz	4925	
34	4572	asuz	4925	
67	125	atft	7705	
67	633	atft	7705	
67	1364	atft	7705	
67	116	atft	7705	
67	777	atft	7705	
134	5356	mjvf	7654	
134	4265	mjvf	7654	
30	7617	esdq	3058	
30	4	esdq	3058	
30	6402	esdq	3058	
30	4820	esdq	3058	
95	1988	iugg	3043	
95	109	iugg	3043	
95	9519	iugg	3043	
95	6124	iugg	3043	
95	8511	iugg	3043	
9	6504	atzc	5640	
9	6395	atzc	5640	
9	75	atzc	5640	
9	5668	atzc	5640	
9	5890	atzc	5640	
9	1228	atzc	5640	
99	2709	ndja	6175	
103	3937	tbfv	4951	
103	1432	tbfv	4951	
119	142	dgfu	1144	
119	9746	dgfu	1144	
119	725	dgfu	1144	
119	4348	dgfu	1144	
88	4138	ehvq	4703	
88	4661	ehvq	4703	
88	9317	ehvq	4703	
88	3474	ehvq	4703	
88	190	ehvq	4703	
88	2967	ehvq	4703	
88	9382	ehvq	4703	
88	7009	ehvq	4703	
88	2738	ehvq	4703	
88	9284	ehvq	4703	
88	7643	ehvq	4703	
88	4261	ehvq	4703	
75	1857	lryv	4228	
75	4513	lryv	4228	
75	1304	lryv	4228	
123	8059	obrt	5520	
2	926	vfbp	5807	
2	8041	vfbp	5807	
2	7347	vfbp	5807	
2	7450	vfbp	5807	
2	482	vfbp	5807	
2	8171	vfbp	5807	
2	4542	vfbp	5807	
178	3208	kaje	89	
76	8813	hmnb	512	
76	9749	hmnb	512	
76	5616	hmnb	512	
76	4528	hmnb	512	
76	2673	hmnb	512	
86	2381	swuo	5210	
86	9059	swuo	5210	
86	3268	swuo	5210	
86	8371	swuo	5210	
68	6741	xawu	6376	
68	5758	xawu	6376	
68	5261	xawu	6376	
68	6613	xawu	6376	
68	612	xawu	6376	
68	6256	xawu	6376	
68	9708	xawu	6376	
43	3758	blqo	6237	
43	6477	blqo	6237	
43	7936	blqo	6237	
43	3272	blqo	6237	
43	5775	blqo	6237	
78	6835	zume	7167	
78	5297	zume	7167	
78	7154	zume	7167	
78	1860	zume	7167	
78	8635	zume	7167	
12	4896	swau	7319	
12	3823	swau	7319	
12	1846	swau	7319	
12	2528	swau	7319	
136	9387	uzjc	6278	
136	1075	uzjc	6278	
136	5826	uzjc	6278	
110	5915	vxbq	2748	
110	9670	vxbq	2748	
110	9036	vxbq	2748	
144	2239	nptd	1854	
144	9753	nptd	1854	
144	3397	nptd	1854	
124	2902	efuw	7448	
124	5909	efuw	7448	
124	6366	efuw	7448	
124	8962	efuw	7448	
29	5174	rqem	4884	
29	1424	rqem	4884	
29	2324	rqem	4884	
29	6710	rqem	4884	
29	7780	rqem	4884	
29	4072	rqem	4884	
42	6928	fktb	721	
42	3375	fktb	721	
42	2097	fktb	721	
42	5715	fktb	721	
42	5234	fktb	721	
42	5805	fktb	721	
42	6173	fktb	721	
42	4535	fktb	721	
42	4631	fktb	721	
42	1400	fktb	721	
91	7967	rprm	6804	
91	1910	rprm	6804	
60	8815	zape	5850	
60	2000	zape	5850	
60	5972	zape	5850	
60	4990	zape	5850	
60	7768	zape	5850	
60	9020	zape	5850	
73	4226	zckv	2450	
73	1305	zckv	2450	
73	8564	zckv	2450	
73	5215	zckv	2450	
73	4408	zckv	2450	
73	9094	zckv	2450	
129	8929	wnxp	5714	
16	6764	tder	5746	
16	5038	tder	5746	
16	1900	tder	5746	
16	2516	tder	5746	
16	5287	tder	5746	
16	8516	tder	5746	
16	4684	tder	5746	
16	8527	tder	5746	
16	9377	tder	5746	
26	1727	vsqo	2750	
26	7799	vsqo	2750	
26	3617	vsqo	2750	
26	2158	vsqo	2750	
26	4090	vsqo	2750	
10	4985	ynkr	5862	
10	7283	ynkr	5862	
10	8800	ynkr	5862	
33	4242	jtbv	6681	
33	5623	jtbv	6681	
33	7634	jtbv	6681	
33	5560	jtbv	6681	
33	3719	jtbv	6681	
33	815	jtbv	6681	
33	3388	jtbv	6681	
7	433	cxer	619	
7	724	cxer	619	
66	5047	utwb	5221	
66	2290	utwb	5221	
66	4676	utwb	5221	
66	8553	utwb	5221	
66	6208	utwb	5221	
54	4808	rckk	2434	
54	2813	rckk	2434	
54	5241	rckk	2434	
54	4969	rckk	2434	
54	8317	rckk	2434	
54	1582	rckk	2434	
54	7669	rckk	2434	
54	3817	rckk	2434	
49	1801	ftwn	2336	
49	375	ftwn	2336	
49	957	ftwn	2336	
49	573	ftwn	2336	
49	5123	ftwn	2336	
49	7379	ftwn	2336	
49	1311	ftwn	2336	
49	2915	ftwn	2336	
49	4844	ftwn	2336	
49	4335	ftwn	2336	
106	5725	ouwv	1371	
106	6589	ouwv	1371	
106	2273	ouwv	1371	
79	5925	hhhd	6039	
79	7582	hhhd	6039	
79	6210	hhhd	6039	
79	2712	hhhd	6039	
64	5459	obov	1127	
64	288	obov	1127	
64	5351	obov	1127	
64	4067	obov	1127	
132	440	syxx	4412	
132	5345	syxx	4412	
71	4871	qxnz	2535	
71	194	qxnz	2535	
45	8611	jyms	2957	
45	6873	jyms	2957	
45	2133	jyms	2957	
45	5818	jyms	2957	
45	8860	jyms	2957	
45	7580	jyms	2957	
168	2421	balk	1773	
142	3707	veue	1670	
23	8177	eblb	1132	
23	8407	eblb	1132	
23	6398	eblb	1132	
25	6203	jupw	6913	
25	9605	jupw	6913	
25	5782	jupw	6913	
25	427	jupw	6913	
25	9004	jupw	6913	
25	7966	jupw	6913	
25	8834	jupw	6913	
92	5962	ugsq	6168	
92	635	ugsq	6168	
158	201	tioj	6957	
120	8866	uqyn	5054	
20	6738	qvdd	4369	
20	353	qvdd	4369	
20	6503	qvdd	4369	
20	2705	qvdd	4369	
20	5372	qvdd	4369	
115	984	yitw	2746	
84	4846	xeqk	2834	
84	6305	xeqk	2834	
84	7373	xeqk	2834	
165	7396	tvuo	3839	
138	2804	teku	7148	
138	2104	teku	7148	
138	9667	teku	7148	
138	9150	teku	7148	
40	4627	hgei	6357	
40	4464	hgei	6357	
40	7526	hgei	6357	
40	9479	hgei	6357	
40	7856	hgei	6357	
152	3452	jtxy	6625	
130	6015	jlsh	2496	
85	7104	esnu	694	
85	3152	esnu	694	
85	7152	esnu	694	
